runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
51.9133,4608,4608,3485,3485,0,-1,51.9133,0,0,531085,952951,73900,11475,0.0752786,LNS(PP;PP),instances/scen-random/random-32-32-20-random-1.scen
51.7889,4336,4336,3322,3322,0,-1,51.7889,0,0,409553,840408,34013,11475,0.0755332,LNS(PP;PP),instances/scen-random/random-32-32-20-random-2.scen
35.7142,4057,4057,3203,3203,0,-1,35.7142,0,0,411394,827129,28080,11475,0.0750832,LNS(PP;PP),instances/scen-random/random-32-32-20-random-3.scen
44.776,4339,4339,3273,3273,0,-1,44.776,0,0,403868,804869,37667,11475,0.0824771,LNS(PP;PP),instances/scen-random/random-32-32-20-random-4.scen
46.6534,4513,4513,3412,3412,0,-1,46.6534,0,0,479056,898610,66288,11475,0.0787315,LNS(PP;PP),instances/scen-random/random-32-32-20-random-5.scen
46.6693,4354,4354,3350,3350,0,-1,46.6693,0,0,419554,866798,32064,11475,0.0777264,LNS(PP;PP),instances/scen-random/random-32-32-20-random-6.scen
37.0492,0,-1,3257,3257,0,-1,37.0492,0,0,347211,710501,27585,9640,0.0781003,LNS(PP;PP),instances/scen-random/random-32-32-20-random-7.scen
45.7176,4430,4430,3411,3411,0,-1,45.7176,0,0,423777,870176,30072,11475,0.078768,LNS(PP;PP),instances/scen-random/random-32-32-20-random-8.scen
57.9076,4543,4543,3370,3370,0,-1,57.9076,0,0,426902,859244,35893,11475,0.074085,LNS(PP;PP),instances/scen-random/random-32-32-20-random-9.scen
47.2787,4339,4339,3166,3166,0,-1,47.2787,0,0,392431,782794,34957,11475,0.0785784,LNS(PP;PP),instances/scen-random/random-32-32-20-random-10.scen
43.654,4328,4328,3327,3327,0,-1,43.654,0,0,476752,877581,60609,11475,0.076146,LNS(PP;PP),instances/scen-random/random-32-32-20-random-11.scen
19.3525,0,-1,3387,3387,0,-1,19.3525,0,0,235809,512526,9313,7145,0.0761117,LNS(PP;PP),instances/scen-random/random-32-32-20-random-12.scen
0.884271,0,-1,3407,3407,0,-1,0.884271,0,0,24561,51828,9,973,0.0862593,LNS(PP;PP),instances/scen-random/random-32-32-20-random-13.scen
48.5692,4387,4387,3417,3417,0,-1,48.5692,0,0,410517,847788,24970,11475,0.0804795,LNS(PP;PP),instances/scen-random/random-32-32-20-random-14.scen
46.4623,4442,4442,3371,3371,0,-1,46.4623,0,0,447227,889592,35331,11475,0.09038,LNS(PP;PP),instances/scen-random/random-32-32-20-random-15.scen
7.86083,0,-1,3268,3268,0,-1,7.86083,0,0,151630,328261,2822,5244,0.0756856,LNS(PP;PP),instances/scen-random/random-32-32-20-random-16.scen
50.2195,4335,4335,3249,3249,0,-1,50.2195,0,0,581592,926045,130736,11475,0.0738158,LNS(PP;PP),instances/scen-random/random-32-32-20-random-17.scen
53.7401,4407,4407,3306,3306,0,-1,53.7401,0,0,423803,859747,33719,11475,0.0779251,LNS(PP;PP),instances/scen-random/random-32-32-20-random-18.scen
44.6716,4359,4359,3412,3412,0,-1,44.6716,0,0,433236,882373,34764,11475,0.0799538,LNS(PP;PP),instances/scen-random/random-32-32-20-random-19.scen
41.4053,4321,4321,3367,3367,0,-1,41.4053,0,0,441802,894941,38211,11475,0.0776622,LNS(PP;PP),instances/scen-random/random-32-32-20-random-20.scen
26.9463,4019,4019,3286,3286,0,-1,26.9463,0,0,375114,803011,15401,11475,0.0708862,LNS(PP;PP),instances/scen-random/random-32-32-20-random-21.scen
43.9221,4356,4356,3304,3304,0,-1,43.9221,0,0,429460,839161,40215,11475,0.075336,LNS(PP;PP),instances/scen-random/random-32-32-20-random-22.scen
65.8851,4688,4688,3369,3369,0,-1,65.8851,0,0,571786,991285,100882,11475,0.0750897,LNS(PP;PP),instances/scen-random/random-32-32-20-random-23.scen
51.0304,4280,4280,3136,3136,0,-1,51.0304,0,0,378545,769879,30958,11475,0.0719987,LNS(PP;PP),instances/scen-random/random-32-32-20-random-24.scen
44.1317,4317,4317,3398,3398,0,-1,44.1317,0,0,507272,911561,74991,11475,0.0754218,LNS(PP;PP),instances/scen-random/random-32-32-20-random-25.scen
