runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
2.94804,1239,1239,1082,1082,0,-1,2.94804,0,0,34094,71372,698,1325,0.0284007,LNS(PP;PP),random-32-32-20-random-1.scen
2.82845,1239,1239,1082,1082,0,-1,2.82845,0,0,34094,71372,698,1325,0.0271774,LNS(PP;PP),random-32-32-20-random-1.scen
10.1277,2606,2606,2253,2253,0,-1,10.1277,0,0,180440,365652,10947,5150,0.0569986,LNS(PP;PP),random-32-32-20-random-1.scen
3.16806,1256,1256,1082,1082,0,-1,3.16806,0,0,32568,70107,335,1325,0.0266297,LNS(PP;PP),random-32-32-20-random-1.scen
102.129,6161,6161,4429,4429,0,-1,102.129,0,0,1065749,1798149,195744,20300,0.106162,LNS(PP;PP),random-32-32-20-random-1.scen
0.32404,0,-1,1082,1082,0,-1,0.32404,0,0,54459,96146,169,1290,0.0269838,LNS(PP;PP),random-32-32-20-random-1.scen
0.0439568,200,200,196,196,0,-1,0.0439568,0,0,2284,4160,0,65,0.00597102,LNS(PP;PP),random-32-32-20-random-1.scen
0.12805,413,413,405,405,0,-1,0.12805,0,0,7546,14787,0,230,0.0118163,LNS(PP;PP),random-32-32-20-random-1.scen
0.352744,639,639,622,622,0,-1,0.352744,0,0,17777,34262,0,495,0.0174759,LNS(PP;PP),random-32-32-20-random-1.scen
0.640763,848,848,819,819,0,-1,0.640763,0,0,31017,60101,0,860,0.0230804,LNS(PP;PP),random-32-32-20-random-1.scen
