runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
2.78887,3045,3045,2253,2253,0,-1,2.78887,0,0,170917,349700,14321,5150,0.199858,LNS(PP;PP),random-32-32-20-random-1.scen
19.7284,7260,7260,4429,4429,0,-1,19.7284,0,0,1283170,2056563,284569,20300,0.402452,LNS(PP;PP),random-32-32-20-random-1.scen
3.20106,1256,1256,1082,1082,0,-1,3.20106,0,0,32568,70107,335,1325,0.0259902,LNS(PP;PP),random-32-32-20-random-1.scen
13.2779,2732,2732,2253,2253,0,-1,13.2779,0,0,176147,354781,11756,5150,0.0531277,LNS(PP;PP),random-32-32-20-random-1.scen
2.63734,0,-1,2253,2253,0,-1,2.63734,0,0,132056,251193,364,3440,0.196882,LNS(PP;PP),random-32-32-20-random-1.scen
37.2496,2732,2732,2253,2253,0,-1,37.2496,0,0,176147,354781,11756,5150,0.203862,LNS(PP;PP),random-32-32-20-random-1.scen
282.055,6161,6161,4429,4429,0,-1,282.055,0,0,1065749,1798149,195744,20300,0.40304,LNS(PP;PP),random-32-32-20-random-1.scen
7.88276,0,-1,1082,1082,0,-1,7.88276,0,0,35589,74549,156,1304,0.144323,LNS(PP;PP),random-32-32-20-random-1.scen
7.41548,0,-1,1082,1082,0,-1,7.41548,0,0,35589,74549,156,1304,0.101811,LNS(PP;PP),random-32-32-20-random-1.scen
8.03696,1232,1232,1082,1082,0,-1,8.03696,0,0,36120,75651,179,1325,0.098104,LNS(PP;PP),random-32-32-20-random-1.scen
26.5029,2590,2590,2253,2253,0,-1,26.5029,0,0,187720,372056,7098,5150,0.198938,LNS(PP;PP),random-32-32-20-random-1.scen
2.13247,1303,1303,1082,1082,0,-1,2.13247,0,0,29057,67966,28,1325,0.100173,LNS(PP;PP),random-32-32-20-random-1.scen
16.0615,2874,2874,2253,2253,0,-1,16.0615,0,0,168541,354360,4590,5150,0.199317,LNS(PP;PP),random-32-32-20-random-1.scen
11.8506,2999,2999,2253,2253,0,-1,11.8506,0,0,166184,366204,1514,5150,0.19763,LNS(PP;PP),random-32-32-20-random-1.scen
2.07834,1308,1308,1082,1082,0,-1,2.07834,0,0,29118,67988,25,1325,0.101869,LNS(PP;PP),random-32-32-20-random-1.scen
7.22995,0,-1,1082,1082,0,-1,7.22995,0,0,33533,70187,676,1297,0.103116,LNS(PP;PP),random-32-32-20-random-1.scen
0.0636633,0,-1,1082,1082,0,-1,0.0636633,0,0,1132,2364,0,50,0.098874,LNS(PP;PP),random-32-32-20-random-1.scen
0.0650492,0,-1,1082,1082,0,-1,0.0650492,0,0,1132,2364,0,50,0.102754,LNS(PP;PP),random-32-32-20-random-1.scen
0.156283,0,-1,1082,1082,0,-1,0.156283,0,0,1132,2364,0,50,0.099746,LNS(PP;PP),random-32-32-20-random-1.scen
8.10205,0,-1,1082,1082,0,-1,8.10205,0,0,35589,74549,156,1304,0.0976027,LNS(PP;PP),random-32-32-20-random-1.scen
25.4869,0,-1,2253,2253,0,-1,25.4869,0,0,181514,360636,6349,4997,0.202298,LNS(PP;PP),random-32-32-20-random-1.scen
12.1633,2974,2974,2253,2253,0,-1,12.1633,0,0,163938,358089,1462,5150,0.201536,LNS(PP;PP),random-32-32-20-random-1.scen
2.38532,1316,1316,1082,1082,0,-1,2.38532,0,0,32236,74266,60,1325,0.0967217,LNS(PP;PP),random-32-32-20-random-1.scen
12.2878,3036,3036,2253,2253,0,-1,12.2878,0,0,167844,366371,2202,5150,0.200461,LNS(PP;PP),random-32-32-20-random-1.scen
2.21945,1288,1288,1082,1082,0,-1,2.21945,0,0,28869,67746,28,1325,0.0974634,LNS(PP;PP),random-32-32-20-random-1.scen
2.40244,1329,1329,1082,1082,0,-1,2.40244,0,0,30845,71741,66,1325,0.100745,LNS(PP;PP),random-32-32-20-random-1.scen
8.20629,1239,1239,1082,1082,0,-1,8.20629,0,0,34094,71372,698,1325,0.0996682,LNS(PP;PP),random-32-32-20-random-1.scen
7.99044,1239,1239,1082,1082,0,-1,7.99044,0,0,34094,71372,698,1325,0.0990944,LNS(PP;PP),random-32-32-20-random-1.scen
41.6661,2606,2606,2253,2253,0,-1,41.6661,0,0,180440,365652,10947,5150,0.204995,LNS(PP;PP),random-32-32-20-random-1.scen
14.1354,2978,2978,2253,2253,0,-1,14.1354,0,0,197047,409999,7598,5150,0.201978,LNS(PP;PP),random-32-32-20-random-1.scen
